Afstemningsområde	Opstillingskreds	Storkreds	Landsdel	Filnavn	Stemmeberettigede	IAltGyldigeStemmer	BlankeStemmer	AndreUgyldigeStemmer	IAltAfgivneStemmer	A	B	C	F	I	K	O	V	Ø	Å	UdenForParti
"Borris"	"11. Ringkøbing"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495827.xml"	951	851	12	3	866	149	12	23	15	36	36	198	350	23	9	0
"Faster"	"11. Ringkøbing"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495828.xml"	595	519	6	0	525	71	4	13	17	17	66	84	228	18	1	0
"Rækker Mølle"	"11. Ringkøbing"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495829.xml"	1149	1016	5	0	1021	128	23	31	21	39	146	159	428	30	11	0
"Stauning"	"11. Ringkøbing"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495830.xml"	861	761	3	0	764	167	15	22	16	41	41	141	283	26	9	0
"Videbæk"	"11. Ringkøbing"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495831.xml"	3730	3268	13	6	3287	591	33	97	64	121	393	843	1022	67	37	0
"Nr.Vium"	"11. Ringkøbing"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495832.xml"	485	422	2	0	424	49	8	13	14	28	38	116	137	9	10	0
"Troldhede"	"11. Ringkøbing"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495833.xml"	581	468	3	2	473	70	10	10	14	20	19	148	143	26	8	0
"Vorgod-Barde"	"11. Ringkøbing"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495834.xml"	1844	1639	7	3	1649	267	18	56	25	69	188	430	520	48	18	0
"Spjald"	"11. Ringkøbing"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495835.xml"	2181	1890	12	4	1906	291	46	78	48	110	81	471	681	44	40	0
"Hedensted, St.Dalby Og Urlev"	"11. Hedensted"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495654.xml"	6081	5325	42	15	5382	1219	145	138	97	556	100	1445	1387	139	98	1
"Løsning Sogn"	"11. Hedensted"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495655.xml"	3034	2600	17	9	2626	744	45	47	60	158	131	806	468	96	39	6
"Ø. Snede Sogn"	"11. Hedensted"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495656.xml"	1542	1360	10	3	1373	246	17	24	15	121	185	372	324	34	22	0
"Daugård Og Ørum Sogne"	"11. Hedensted"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495657.xml"	1187	1069	11	3	1083	202	46	29	36	128	26	260	275	21	45	1
"Korning Sogn"	"11. Hedensted"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495658.xml"	455	410	3	3	416	64	11	8	8	26	35	140	102	8	7	1
"Ølsted Og Eriknauer-Området"	"11. Hedensted"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495659.xml"	993	894	4	2	900	209	21	22	22	68	7	277	201	53	12	2
"Juelsminde/Klakring"	"11. Hedensted"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495660.xml"	3333	2908	25	16	2949	638	60	75	64	228	20	888	789	97	48	1
"As"	"11. Hedensted"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495661.xml"	595	536	6	0	542	111	14	9	9	50	2	153	154	23	11	0
"Barrit"	"11. Hedensted"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495662.xml"	1260	1071	17	2	1090	227	23	16	30	63	18	342	255	57	39	1
"Bjerre"	"11. Hedensted"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495663.xml"	1072	930	9	2	941	210	19	13	28	77	9	302	203	40	28	1
"Hornsyld"	"11. Hedensted"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495664.xml"	1492	1270	20	8	1298	290	38	35	26	92	14	380	321	48	24	2
"Stouby"	"11. Hedensted"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495665.xml"	1248	1097	8	4	1109	206	42	23	34	114	16	285	279	63	33	2
"Rårup"	"11. Hedensted"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495666.xml"	1147	984	7	1	992	227	16	23	32	85	6	305	209	66	15	0
"Glud"	"11. Hedensted"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495667.xml"	1707	1524	12	5	1541	332	46	45	48	139	6	443	338	75	49	3
"Hjarnø"	"11. Hedensted"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495668.xml"	94	87	0	0	87	20	5	3	5	8	0	7	14	11	14	0
"Rask Mølle"	"11. Hedensted"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495669.xml"	1063	943	8	3	954	213	30	10	40	62	4	293	230	33	27	1
"Hvirring"	"11. Hedensted"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495670.xml"	405	352	2	0	354	53	3	2	14	25	1	126	95	18	15	0
"Hornborg"	"11. Hedensted"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495671.xml"	586	519	5	3	527	88	13	19	17	57	12	169	103	23	18	0
"Lindved"	"11. Hedensted"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495672.xml"	1363	1214	11	1	1226	236	32	27	31	73	58	375	317	38	27	0
"Tørring"	"11. Hedensted"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495673.xml"	2237	1910	13	6	1929	368	47	46	41	111	24	710	440	76	42	5
"Uldum"	"11. Hedensted"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495674.xml"	1184	1004	6	3	1013	198	31	22	24	66	10	331	266	34	20	2
"Aale"	"11. Hedensted"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495675.xml"	607	528	2	3	533	109	16	8	14	34	3	191	130	15	8	0
"Ølholm"	"11. Hedensted"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495676.xml"	733	655	8	2	665	144	9	10	18	53	7	210	163	26	15	0
"Hjortsvang"	"11. Hedensted"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495677.xml"	348	293	6	0	299	45	12	1	8	19	0	112	75	12	8	1
"Sejerslev"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495913.xml"	630	542	4	2	548	194	12	12	10	11	9	112	143	25	14	0
"Flade"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495914.xml"	494	429	3	1	433	159	6	7	7	20	2	85	107	20	16	0
"Bjergby"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495915.xml"	306	276	1	0	277	85	7	4	9	14	0	48	95	11	3	0
"Sundby"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495916.xml"	467	414	4	0	418	133	10	4	11	15	0	89	120	22	10	0
"Solbjerg"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495917.xml"	324	284	1	0	285	76	3	6	6	22	0	70	89	8	4	0
"Thorup"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495918.xml"	303	274	2	1	277	61	12	7	9	19	0	53	88	15	10	0
"Ø. Jølby"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495919.xml"	715	614	8	1	623	200	6	3	8	15	3	147	206	15	11	0
"Erslev"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495920.xml"	513	456	2	0	458	151	5	4	4	20	0	136	106	20	10	0
"Tødsø"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495921.xml"	660	584	2	0	586	188	4	9	9	26	0	142	173	27	5	1
"Frøslev"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495922.xml"	460	385	2	0	387	151	3	7	5	25	5	83	89	13	4	0
"Tæbring"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495923.xml"	470	415	3	1	419	125	7	7	9	8	7	92	135	18	7	0
"Fredsø"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495924.xml"	659	595	6	1	602	174	12	7	12	22	2	139	195	26	6	0
"Vils"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495925.xml"	665	552	2	2	556	182	7	3	3	28	3	127	178	13	8	0
"Karby"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495926.xml"	691	576	2	1	579	143	9	6	11	23	2	146	200	19	17	0
"Redsted"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495927.xml"	486	423	1	1	425	117	3	4	9	23	7	111	124	17	8	0
"Ørding"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495928.xml"	497	418	6	1	425	112	5	8	5	15	6	106	133	17	11	0
"Ø. Assels"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495929.xml"	512	438	6	1	445	126	5	7	6	11	3	145	106	19	10	0
"Nykøbing"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495930.xml"	7192	5903	27	29	5959	2304	117	109	132	268	48	1161	1337	332	95	0
"Aakjær"	"2. Skive"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495693.xml"	6183	4907	63	14	4984	1533	169	137	186	292	25	1046	1038	367	112	2
"Skivehus"	"2. Skive"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495694.xml"	4922	4293	33	6	4332	1297	171	155	122	243	43	759	1234	176	93	0
"Brårup"	"2. Skive"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495695.xml"	5281	4380	56	14	4450	1618	127	128	149	193	38	874	853	284	114	2
"Højslev"	"2. Skive"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495696.xml"	3009	2673	17	4	2694	725	53	98	81	122	15	641	784	118	34	2
"Ørslevkloster"	"2. Skive"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495697.xml"	1036	904	14	2	920	200	27	16	22	26	8	194	335	37	39	0
"Rønbjerg"	"2. Skive"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495698.xml"	639	552	3	1	556	143	13	26	16	38	9	122	139	28	18	0
"Hem"	"2. Skive"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495699.xml"	730	646	6	0	652	223	10	23	17	34	3	133	181	16	6	0
"Lihme"	"2. Skive"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495700.xml"	564	473	4	2	479	177	15	18	16	15	3	89	113	19	8	0
"Oddense - Otting"	"2. Skive"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495701.xml"	702	589	3	0	592	196	13	13	15	37	2	110	182	15	6	0
"Rødding"	"2. Skive"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495702.xml"	1115	956	5	1	962	296	31	22	15	37	7	190	296	46	16	0
"Glyngøre"	"2. Skive"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495703.xml"	1547	1298	14	4	1316	395	30	36	32	60	10	280	372	50	33	0
"Durup"	"2. Skive"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495704.xml"	1105	908	7	1	916	238	17	27	23	21	11	224	297	30	19	1
"Roslev"	"2. Skive"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495705.xml"	1764	1477	14	5	1496	440	42	38	23	66	10	312	469	47	29	1
"Jebjerg-Lyby"	"2. Skive"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495706.xml"	1266	1072	8	0	1080	331	30	32	19	39	7	207	337	56	14	0
"Balling"	"2. Skive"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495707.xml"	1304	1106	8	4	1118	327	42	27	26	67	4	225	328	43	17	0
"Breum"	"2. Skive"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495708.xml"	1391	1218	11	3	1232	324	45	33	33	62	4	225	410	60	22	0
"Håsum-Ramsing"	"2. Skive"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495709.xml"	589	529	2	0	531	145	16	12	10	18	4	141	146	24	13	0
"Selde"	"2. Skive"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495710.xml"	1078	919	3	0	922	240	20	22	22	61	15	212	248	59	20	0
"Lem-Vejby"	"2. Skive"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495711.xml"	739	612	6	2	620	191	24	14	16	19	4	137	166	29	12	0
"Fur"	"2. Skive"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495712.xml"	655	580	4	1	585	125	27	16	21	22	20	124	178	27	19	1
"Thisted By"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495931.xml"	7108	5798	44	36	5878	2070	121	131	157	280	86	1073	1422	337	121	0
"Harring-Stagstrup"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495932.xml"	917	798	3	1	802	266	8	17	13	24	18	176	232	27	17	0
"Hillerslev-Kåstrup"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495933.xml"	738	638	3	0	641	160	8	15	11	33	10	136	226	19	20	0
"Hundborg-Jannerup"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495934.xml"	745	616	6	2	624	180	13	15	21	23	20	135	141	43	25	0
"Vorupør"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495935.xml"	488	439	4	0	443	151	3	9	7	13	1	148	93	11	3	0
"Nors-Tved"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495936.xml"	1201	1061	4	5	1070	272	18	30	12	43	13	240	384	30	19	0
"Sennels"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495937.xml"	964	847	10	1	858	258	20	21	7	29	2	134	327	26	22	1
"Sjørring-Thorsted"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495938.xml"	1076	951	9	1	961	299	26	17	18	59	12	178	269	46	26	1
"Skjoldborg-Kallerup"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495939.xml"	473	418	3	1	422	99	7	9	8	18	11	96	143	20	7	0
"Snedsted-Nørhå"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495940.xml"	1548	1341	4	5	1350	415	25	75	26	50	15	367	262	76	29	1
"Sønderhå-Hørsted"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495941.xml"	300	268	1	0	269	65	3	6	7	11	4	77	72	16	7	0
"Thisted Landsogn"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495942.xml"	3122	2726	23	9	2758	896	68	73	61	114	35	544	734	127	74	0
"Vang-Tvorup"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495943.xml"	317	276	1	0	277	62	6	13	6	9	10	86	52	20	12	0
"Skinnerup, V Og Ø Vandet"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495944.xml"	458	418	2	1	421	97	2	9	11	17	11	66	169	21	15	0
"Øsløs, Vesløs Og Arup"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495945.xml"	871	747	7	2	756	223	15	11	10	37	6	179	181	49	36	0
"Østerild, Hunstrup"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495946.xml"	820	705	4	2	711	221	3	13	9	26	6	149	241	21	16	0
"Hanstholm"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495947.xml"	1508	1239	8	5	1252	307	22	39	18	48	3	398	348	39	17	0
"Ræhr/Vigsø"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495948.xml"	699	580	2	2	584	134	3	9	7	32	1	166	203	16	9	0
"Klitmøller"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495949.xml"	665	584	7	0	591	195	17	16	16	30	5	97	130	42	36	0
"Frøstrup"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495950.xml"	839	710	4	2	716	256	9	16	20	20	9	110	159	80	31	0
"Lild"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495951.xml"	225	206	0	0	206	74	3	1	2	7	1	34	46	25	13	0
"Bedsted"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495952.xml"	1635	1397	10	3	1410	381	31	38	22	63	25	336	401	69	31	0
"Hurup"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495953.xml"	2618	2229	8	2	2239	678	35	85	31	68	34	477	717	78	26	0
"Koldby"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495954.xml"	1406	1206	10	5	1221	342	23	45	24	38	9	293	325	68	39	0
"Vestervig"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495955.xml"	1325	1136	7	1	1144	320	19	48	17	56	44	211	358	51	12	0
"Ydby"	"4. Thisted"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495956.xml"	898	777	6	1	784	208	17	28	27	33	7	163	244	31	19	0
"Frederiks"	"3. Viborg Vest"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495713.xml"	2429	2029	21	7	2057	513	49	144	69	88	46	481	515	77	46	1
"Hald Ege"	"3. Viborg Vest"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495714.xml"	2501	2259	14	3	2276	516	113	215	153	152	12	306	519	125	147	1
"Karup"	"3. Viborg Vest"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495715.xml"	2621	2202	24	8	2234	548	28	116	74	92	24	580	570	103	66	1
"Løgstrup"	"3. Viborg Vest"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495716.xml"	2608	2321	16	4	2341	497	63	200	85	152	19	490	654	103	58	0
"Mønsted"	"3. Viborg Vest"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495717.xml"	1792	1541	14	4	1559	365	36	149	65	58	9	368	409	55	27	0
"Stoholm"	"3. Viborg Vest"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495718.xml"	2513	2178	17	13	2208	564	54	137	55	109	17	506	612	84	40	0
"Vridsted"	"3. Viborg Vest"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495719.xml"	1667	1466	10	2	1478	362	37	70	37	75	6	374	423	55	27	0
"Viborg"	"3. Viborg Vest"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495720.xml"	21685	17797	171	85	18053	5003	594	1695	1034	1133	130	2984	3505	1096	621	2
"Bjerringbro Nord"	"4. Viborg Øst"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495721.xml"	5339	4508	35	19	4562	1007	94	914	163	212	67	832	916	183	118	2
"Bjerringbro Syd"	"4. Viborg Øst"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495722.xml"	2141	1848	7	10	1865	410	34	379	48	73	15	417	366	56	49	1
"Hammershøj"	"4. Viborg Øst"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495723.xml"	1788	1519	11	6	1536	288	37	124	57	93	6	371	434	62	46	1
"Møldrup"	"4. Viborg Øst"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495724.xml"	3512	2983	18	8	3009	594	56	233	82	156	40	759	926	97	38	2
"Overlund"	"4. Viborg Øst"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495725.xml"	9270	8157	51	15	8223	2192	367	921	376	526	87	1188	1904	359	235	2
"Rødding"	"4. Viborg Øst"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495726.xml"	2618	2280	23	5	2308	528	70	180	97	138	26	420	652	95	73	1
"Rødkærsbro"	"4. Viborg Øst"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495727.xml"	2360	2100	12	3	2115	477	46	221	70	93	59	489	525	82	38	0
"Skals"	"4. Viborg Øst"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495728.xml"	2771	2397	12	5	2414	506	33	173	101	141	18	509	768	88	60	0
"Ørum"	"4. Viborg Øst"	"Vestjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495729.xml"	2369	2051	11	4	2066	451	55	148	66	133	36	467	551	84	59	1
"Agersted"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495880.xml"	694	585	4	3	592	145	5	14	20	22	1	149	163	42	24	0
"Asaa"	"3. Brønderslev"	"Nordjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495881.xml"	1428	1177	12	1	1190	394	18	26	25	57	7	298	239	90	23	0
