Afstemningsområde	Opstillingskreds	Storkreds	Landsdel	Filnavn	Stemmeberettigede	IAltGyldigeStemmer	BlankeStemmer	AndreUgyldigeStemmer	IAltAfgivneStemmer	A	B	C	F	I	K	O	V	Ø	Å	UdenForParti
"Mørdrupskolen, Espergærde"	"1. Helsingør"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494804.xml"	4902	4317	25	5	4347	1055	280	320	158	467	12	801	747	257	220	0
"Frederiksborgcentret"	"3. Hillerød"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494819.xml"	6415	5455	42	11	5508	1243	400	204	293	585	79	803	1032	497	316	3
"Hillerødsholmsskolen"	"3. Hillerød"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494820.xml"	4602	4013	24	19	4056	1151	279	163	187	305	72	615	784	291	165	1
"Brødeskov"	"3. Hillerød"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494821.xml"	635	577	2	0	579	136	38	27	17	100	0	92	114	31	22	0
"Hammersholt"	"3. Hillerød"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494822.xml"	1149	1085	7	3	1095	257	85	49	71	126	12	115	194	93	83	0
"Alsønderup"	"3. Hillerød"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494823.xml"	1758	1597	6	6	1609	320	91	58	50	170	12	334	417	71	74	0
"Ullerød"	"3. Hillerød"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494824.xml"	3869	3424	28	13	3465	826	196	130	142	349	62	561	773	226	154	5
"Nødebo"	"3. Hillerød"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494825.xml"	1494	1334	10	2	1346	300	121	79	54	163	9	166	275	54	113	0
"Gadevang"	"3. Hillerød"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494826.xml"	806	758	6	2	766	165	81	38	36	110	4	62	165	41	56	0
"Grønnevang Skole, Jespervej"	"3. Hillerød"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494827.xml"	3154	2828	18	12	2858	733	169	99	158	271	71	422	544	217	144	0
"Grønnevang Skole, Østervang"	"3. Hillerød"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494828.xml"	5053	4198	44	11	4253	1108	261	187	221	320	58	791	687	375	186	4
"Lille Lyngby"	"3. Hillerød"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494829.xml"	1532	1373	14	0	1387	250	55	44	49	106	16	371	357	71	54	0
"Skævinge, Harløse, Strø"	"3. Hillerød"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494830.xml"	2807	2430	16	6	2452	500	75	111	76	242	23	572	655	99	76	1
"Gørløse"	"3. Hillerød"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494831.xml"	950	846	8	1	855	183	35	24	31	82	5	227	188	47	24	0
